listener,condition,isi,delta,f,response
L0,roved,10.0,-0.5,1281.0,0.0
L0,roved,10.0,0.0,1477.0,1.0
L0,roved,10.0,1.0,756.0,1.0
L0,roved,10.0,0.0,3376.0,0.0
L0,roved,10.0,-0.75,2348.0,0.0
L0,roved,10.0,-0.75,2856.0,0.0
L0,roved,10.0,0.5,2703.0,1.0
L0,roved,10.0,-0.5,2234.0,0.0
L0,roved,10.0,0.5,168.0,1.0
L0,roved,10.0,-1.0,1767.0,0.0
L0,roved,10.0,-0.25,236.0,0.0
L0,roved,10.0,1.0,1958.0,1.0
L0,roved,10.0,-0.75,740.0,1.0
L0,roved,10.0,-0.25,952.0,1.0
L0,roved,10.0,-0.5,460.0,0.0
L0,roved,10.0,0.25,2347.0,1.0
L0,roved,10.0,-0.5,326.0,0.0
L0,roved,10.0,-0.5,124.0,0.0
L0,roved,10.0,-0.75,429.0,0.0
L0,roved,10.0,0.5,2317.0,1.0
L0,roved,10.0,0.0,2081.0,0.0
L0,roved,10.0,-0.75,2974.0,0.0
L0,roved,10.0,0.0,1738.0,1.0
L0,roved,10.0,0.5,3396.0,1.0
L0,roved,10.0,-1.0,109.0,0.0
L0,roved,10.0,0.75,1402.0,1.0
L0,roved,10.0,0.75,2926.0,1.0
L0,roved,10.0,-0.25,1873.0,0.0
L0,roved,10.0,0.25,149.0,1.0
L0,roved,10.0,1.0,3176.0,1.0
L0,roved,10.0,0.75,226.0,1.0
L0,roved,10.0,-0.25,1355.0,0.0
L0,roved,10.0,-1.0,44.0,0.0
L0,roved,10.0,0.5,385.0,1.0
L0,roved,10.0,0.0,1475.0,1.0
L0,roved,10.0,1.0,1670.0,1.0
L0,roved,10.0,0.25,890.0,1.0
L0,roved,10.0,1.0,3253.0,1.0
L0,roved,10.0,0.75,1279.0,1.0
L0,roved,10.0,-1.0,1494.0,0.0
L0,roved,10.0,-0.25,2366.0,0.0
L0,roved,10.0,0.25,1983.0,0.0
L0,roved,10.0,-1.0,1291.0,0.0
L0,roved,2.0,-0.75,1790.0,0.0
L0,roved,2.0,0.5,1788.0,1.0
L0,roved,2.0,0.75,710.0,1.0
L0,roved,2.0,0.0,3003.0,0.0
L0,roved,2.0,0.25,1164.0,1.0
L0,roved,2.0,0.75,2204.0,1.0
L0,roved,2.0,-0.25,1917.0,0.0
L0,roved,2.0,-0.75,2586.0,0.0
L0,roved,2.0,-0.25,1848.0,0.0
L0,roved,2.0,0.25,3209.0,1.0
L0,roved,2.0,0.25,74.0,1.0
L0,roved,2.0,-0.5,2889.0,0.0
L0,roved,2.0,0.5,3544.0,1.0
L0,roved,2.0,-1.0,2802.0,0.0
L0,roved,2.0,-0.5,2627.0,0.0
L0,roved,2.0,1.0,3256.0,1.0
L0,roved,2.0,-1.0,791.0,0.0
L0,roved,2.0,-0.5,880.0,0.0
L0,roved,2.0,-1.0,2495.0,0.0
L0,roved,2.0,0.75,1934.0,1.0
L0,roved,2.0,-0.25,1794.0,0.0
L0,roved,2.0,1.0,519.0,1.0
L0,roved,2.0,-0.5,912.0,0.0
L0,roved,2.0,0.5,1457.0,1.0
L0,roved,2.0,0.0,2979.0,0.0
L0,roved,2.0,0.25,1797.0,1.0
L0,roved,2.0,0.75,2310.0,1.0
L0,roved,2.0,1.0,315.0,1.0
L0,roved,2.0,0.0,2921.0,0.0
L0,roved,2.0,0.0,1633.0,0.0
L0,roved,2.0,1.0,3223.0,1.0
L0,roved,2.0,1.0,1808.0,1.0
L0,roved,2.0,0.5,889.0,1.0
L0,roved,2.0,-0.25,1277.0,0.0
L0,roved,2.0,0.0,2531.0,0.0
L0,roved,2.0,-1.0,22.0,0.0
L0,roved,2.0,0.5,933.0,1.0
L0,roved,2.0,-0.75,1718.0,0.0
L0,roved,2.0,-0.75,35.0,0.0
L0,roved,2.0,-0.5,2474.0,0.0
L0,roved,2.0,-0.75,2184.0,0.0
L0,roved,2.0,-1.0,2910.0,0.0
L0,roved,2.0,0.75,2336.0,1.0
L0,roved,2.0,0.25,133.0,1.0
L0,roved,2.0,-0.25,491.0,1.0
L0,roved,5.0,0.5,2447.0,1.0
L0,roved,5.0,-0.75,3282.0,0.0
L0,roved,5.0,-0.75,1635.0,0.0
L0,roved,5.0,1.0,1661.0,1.0
L0,roved,5.0,0.25,3012.0,1.0
L0,roved,5.0,-0.5,1022.0,1.0
L0,roved,5.0,0.5,1228.0,1.0
L0,roved,5.0,-0.75,3502.0,0.0
L0,roved,5.0,-0.25,1165.0,1.0
L0,roved,5.0,0.0,2547.0,0.0
L0,roved,5.0,-0.25,3184.0,0.0
L0,roved,5.0,0.0,2843.0,0.0
L0,roved,5.0,-1.0,3409.0,0.0
L0,roved,5.0,-1.0,1299.0,0.0
L0,roved,5.0,1.0,20.0,1.0
L0,roved,5.0,0.75,1438.0,1.0
L0,roved,5.0,0.0,415.0,1.0
L0,roved,5.0,-0.5,1929.0,0.0
L0,roved,5.0,-0.5,2466.0,0.0
L0,roved,5.0,0.75,2025.0,1.0
L0,roved,5.0,0.75,898.0,1.0
L0,roved,5.0,1.0,2432.0,1.0
L0,roved,5.0,0.5,2149.0,1.0
L0,roved,5.0,0.5,2975.0,1.0
L0,roved,5.0,-0.75,2455.0,0.0
L0,roved,5.0,0.5,1186.0,1.0
L0,roved,5.0,0.25,2184.0,0.0
L0,roved,5.0,-0.25,530.0,0.0
L0,roved,5.0,0.75,1662.0,1.0
L0,roved,5.0,-0.5,3017.0,1.0
L0,roved,5.0,1.0,3041.0,1.0
L0,roved,5.0,-0.25,774.0,0.0
L0,roved,5.0,-0.5,835.0,0.0
L0,roved,5.0,-0.25,2659.0,0.0
L0,roved,5.0,-0.75,2480.0,0.0
L0,roved,5.0,0.0,2040.0,0.0
L0,roved,5.0,-1.0,1438.0,0.0
L0,roved,5.0,0.25,3184.0,1.0
L0,roved,5.0,0.75,982.0,1.0
L0,roved,5.0,0.25,2848.0,1.0
L0,roved,5.0,-1.0,709.0,0.0
L0,roved,5.0,-1.0,2342.0,0.0
L0,roved,5.0,0.0,1811.0,0.0
L0,roved,5.0,0.25,534.0,1.0
L0,roved,5.0,1.0,2390.0,1.0
L0,roved,10.0,-0.5,1128.0,0.0
L0,roved,10.0,0.0,1565.0,0.0
L0,roved,10.0,-0.25,3564.0,0.0
L0,roved,10.0,-0.5,1474.0,0.0
L0,roved,10.0,0.0,2020.0,1.0
L0,roved,10.0,1.0,2467.0,1.0
L0,roved,10.0,1.0,2683.0,1.0
L0,roved,10.0,0.25,2248.0,0.0
L0,roved,10.0,0.5,2164.0,1.0
L0,roved,10.0,0.25,2161.0,0.0
L0,roved,10.0,0.0,856.0,1.0
L0,roved,10.0,1.0,3249.0,1.0
L0,roved,10.0,-0.75,3230.0,0.0
L0,roved,10.0,0.0,1773.0,1.0
L0,roved,10.0,-0.75,423.0,0.0
L0,roved,10.0,-1.0,1765.0,0.0
L0,roved,10.0,0.5,177.0,1.0
L0,roved,10.0,-1.0,3157.0,0.0
L0,roved,10.0,1.0,496.0,1.0
L0,roved,10.0,0.25,781.0,1.0
L0,roved,10.0,-0.25,1486.0,1.0
L0,roved,10.0,-0.75,2290.0,0.0
L0,roved,10.0,0.75,1886.0,1.0
L0,roved,10.0,-0.5,1677.0,0.0
L0,roved,10.0,0.25,1890.0,1.0
L0,roved,10.0,0.75,2411.0,1.0
L0,roved,10.0,0.75,1527.0,1.0
L0,roved,10.0,1.0,3114.0,1.0
L0,roved,10.0,0.75,3093.0,1.0
L0,roved,10.0,-0.25,421.0,0.0
L0,roved,10.0,-0.75,669.0,0.0
L0,roved,10.0,0.75,3335.0,1.0
L0,roved,10.0,-0.75,3472.0,0.0
L0,roved,10.0,-1.0,2951.0,0.0
L0,roved,10.0,-0.25,1261.0,0.0
L0,roved,10.0,-1.0,1000.0,0.0
L0,roved,10.0,-0.25,2299.0,1.0
L0,roved,10.0,0.5,911.0,1.0
L0,roved,10.0,-0.5,447.0,0.0
L0,roved,10.0,0.0,233.0,1.0
L0,roved,10.0,-0.5,2301.0,0.0
L0,roved,10.0,-1.0,2079.0,0.0
L0,roved,10.0,0.5,3595.0,1.0
L0,roved,10.0,0.25,3197.0,0.0
L0,roved,10.0,0.5,3304.0,1.0
L0,roved,10.0,-0.75,215.0,0.0
L0,roved,10.0,-0.5,613.0,1.0
L0,roved,10.0,0.75,3534.0,1.0
L0,roved,10.0,0.25,239.0,1.0
L0,roved,10.0,0.5,1541.0,1.0
L0,roved,10.0,-0.5,2454.0,0.0
L0,roved,10.0,-1.0,307.0,0.0
L0,roved,10.0,-0.5,3583.0,0.0
L0,roved,10.0,1.0,345.0,1.0
L0,roved,10.0,0.25,2272.0,0.0
L0,roved,10.0,-1.0,3248.0,0.0
L0,roved,10.0,0.25,1874.0,1.0
L0,roved,10.0,-0.75,2847.0,0.0
L0,roved,10.0,-0.25,3282.0,0.0
L0,roved,10.0,0.75,3335.0,1.0
L0,roved,10.0,-0.75,594.0,0.0
L0,roved,10.0,0.5,966.0,1.0
L0,roved,10.0,-1.0,2934.0,0.0
L0,roved,10.0,-1.0,696.0,0.0
L0,roved,10.0,1.0,3367.0,1.0
L0,roved,10.0,-0.75,2937.0,0.0
L0,roved,10.0,-0.5,3218.0,0.0
L0,roved,10.0,0.75,2308.0,1.0
L0,roved,10.0,-1.0,2330.0,0.0
L0,roved,10.0,-0.25,3151.0,0.0
L0,roved,10.0,0.5,1082.0,1.0
L0,roved,10.0,0.0,2631.0,0.0
L0,roved,10.0,0.75,537.0,1.0
L0,roved,10.0,0.0,2609.0,0.0
L0,roved,10.0,0.0,2455.0,1.0
L0,roved,10.0,1.0,2394.0,1.0
L0,roved,10.0,0.25,1056.0,1.0
L0,roved,10.0,-0.75,1399.0,0.0
L0,roved,10.0,1.0,3376.0,1.0
L0,roved,10.0,0.5,1914.0,1.0
L0,roved,10.0,-0.25,96.0,0.0
L0,roved,10.0,1.0,3012.0,1.0
L0,roved,10.0,0.25,394.0,1.0
L0,roved,10.0,0.0,751.0,0.0
L0,roved,10.0,-0.5,1528.0,0.0
L0,roved,10.0,-0.25,3073.0,0.0
L0,roved,10.0,0.0,305.0,1.0
L0,roved,10.0,0.75,2601.0,1.0
L0,roved,10.0,-0.25,1198.0,1.0
L0,roved,10.0,0.5,1495.0,1.0
L0,roved,5.0,1.0,3294.0,1.0
L0,roved,5.0,0.75,654.0,1.0
L0,roved,5.0,1.0,798.0,1.0
L0,roved,5.0,-0.75,2021.0,0.0
L0,roved,5.0,0.0,2726.0,1.0
L0,roved,5.0,0.75,2624.0,1.0
L0,roved,5.0,-0.5,17.0,0.0
L0,roved,5.0,0.75,2425.0,1.0
L0,roved,5.0,0.75,2442.0,1.0
L0,roved,5.0,-0.25,1911.0,0.0
L0,roved,5.0,0.5,3355.0,1.0
L0,roved,5.0,0.0,1986.0,1.0
L0,roved,5.0,0.75,2193.0,1.0
L0,roved,5.0,-1.0,498.0,0.0
L0,roved,5.0,1.0,1751.0,1.0
L0,roved,5.0,-1.0,2629.0,0.0
L0,roved,5.0,-0.25,1381.0,0.0
L0,roved,5.0,-1.0,2246.0,0.0
L0,roved,5.0,1.0,109.0,1.0
L0,roved,5.0,-0.25,2353.0,1.0
L0,roved,5.0,0.25,459.0,1.0
L0,roved,5.0,-0.25,3104.0,0.0
L0,roved,5.0,0.25,476.0,1.0
L0,roved,5.0,0.5,1625.0,1.0
L0,roved,5.0,-1.0,2375.0,0.0
L0,roved,5.0,0.0,2642.0,0.0
L0,roved,5.0,0.25,1931.0,1.0
L0,roved,5.0,-0.75,1448.0,0.0
L0,roved,5.0,-1.0,1696.0,0.0
L0,roved,5.0,-0.5,1151.0,0.0
L0,roved,5.0,0.0,3280.0,1.0
L0,roved,5.0,-0.5,1128.0,0.0
L0,roved,5.0,0.25,2874.0,0.0
L0,roved,5.0,-0.75,3521.0,0.0
L0,roved,5.0,0.5,2730.0,1.0
L0,roved,5.0,0.25,650.0,1.0
L0,roved,5.0,0.5,1016.0,1.0
L0,roved,5.0,-0.5,2057.0,0.0
L0,roved,5.0,0.0,2240.0,0.0
L0,roved,5.0,1.0,3265.0,1.0
L0,roved,5.0,-0.25,864.0,0.0
L0,roved,5.0,-0.75,1256.0,0.0
L0,roved,5.0,-0.5,473.0,0.0
L0,roved,5.0,-0.75,653.0,0.0
L0,roved,5.0,0.5,875.0,1.0
L0,roved,2.0,-0.75,2009.0,0.0
L0,roved,2.0,-0.25,2576.0,0.0
L0,roved,2.0,-0.75,593.0,0.0
L0,roved,2.0,-1.0,1625.0,0.0
L0,roved,2.0,0.5,1394.0,1.0
L0,roved,2.0,0.75,2741.0,1.0
L0,roved,2.0,-0.5,2352.0,0.0
L0,roved,2.0,0.0,2055.0,0.0
L0,roved,2.0,1.0,1484.0,1.0
L0,roved,2.0,-0.5,3151.0,0.0
L0,roved,2.0,0.5,589.0,1.0
L0,roved,2.0,-1.0,1353.0,0.0
L0,roved,2.0,0.25,1696.0,1.0
L0,roved,2.0,1.0,2191.0,1.0
L0,roved,2.0,-0.75,2218.0,0.0
L0,roved,2.0,-0.25,414.0,0.0
L0,roved,2.0,0.0,2753.0,1.0
L0,roved,2.0,1.0,2278.0,1.0
L0,roved,2.0,0.5,474.0,1.0
L0,roved,2.0,-0.5,2149.0,0.0
L0,roved,2.0,-0.75,2008.0,0.0
L0,roved,2.0,0.5,1012.0,1.0
L0,roved,2.0,-0.25,3303.0,0.0
L0,roved,2.0,0.75,1682.0,1.0
L0,roved,2.0,0.75,45.0,1.0
L0,roved,2.0,0.25,1622.0,1.0
L0,roved,2.0,0.0,277.0,0.0
L0,roved,2.0,0.75,2938.0,1.0
L0,roved,2.0,-0.75,972.0,0.0
L0,roved,2.0,0.25,1966.0,1.0
L0,roved,2.0,-1.0,3579.0,0.0
L0,roved,2.0,-0.5,2747.0,0.0
L0,roved,2.0,0.5,3173.0,1.0
L0,roved,2.0,0.0,3414.0,0.0
L0,roved,2.0,0.75,1426.0,1.0
L0,roved,2.0,-0.25,1855.0,0.0
L0,roved,2.0,-0.25,482.0,0.0
L0,roved,2.0,1.0,2579.0,1.0
L0,roved,2.0,0.0,3160.0,1.0
L0,roved,2.0,-1.0,2385.0,0.0
L0,roved,2.0,0.25,1779.0,1.0
L0,roved,2.0,0.25,2132.0,1.0
L0,roved,2.0,1.0,3191.0,1.0
L0,roved,2.0,-0.5,1597.0,0.0
L0,roved,2.0,-1.0,2104.0,0.0
L0,roved,2.0,0.5,1410.0,1.0
L0,roved,2.0,0.25,1430.0,0.0
L0,roved,2.0,-1.0,340.0,0.0
L0,roved,2.0,0.0,1612.0,1.0
L0,roved,2.0,-0.75,170.0,0.0
L0,roved,2.0,-0.75,99.0,0.0
L0,roved,2.0,0.0,1747.0,0.0
L0,roved,2.0,0.25,329.0,1.0
L0,roved,2.0,0.75,84.0,1.0
L0,roved,2.0,0.75,2945.0,1.0
L0,roved,2.0,0.25,1142.0,1.0
L0,roved,2.0,0.5,1616.0,1.0
L0,roved,2.0,1.0,3062.0,1.0
L0,roved,2.0,0.5,2534.0,1.0
L0,roved,2.0,1.0,1528.0,1.0
L0,roved,2.0,0.5,3000.0,1.0
L0,roved,2.0,-0.5,3403.0,0.0
L0,roved,2.0,0.75,2846.0,1.0
L0,roved,2.0,-0.5,560.0,0.0
L0,roved,2.0,-1.0,828.0,0.0
L0,roved,2.0,-0.5,2344.0,0.0
L0,roved,2.0,0.75,111.0,1.0
L0,roved,2.0,0.25,3210.0,1.0
L0,roved,2.0,-0.5,1421.0,0.0
L0,roved,2.0,-0.25,2635.0,0.0
L0,roved,2.0,1.0,476.0,1.0
L0,roved,2.0,-0.75,1577.0,0.0
L0,roved,2.0,-1.0,2013.0,0.0
L0,roved,2.0,1.0,1908.0,1.0
L0,roved,2.0,-0.25,1948.0,0.0
L0,roved,2.0,-0.25,2220.0,0.0
L0,roved,2.0,1.0,2696.0,1.0
L0,roved,2.0,0.0,2755.0,0.0
L0,roved,2.0,0.0,1606.0,1.0
L0,roved,2.0,-1.0,2692.0,0.0
L0,roved,2.0,-1.0,3421.0,0.0
L0,roved,2.0,-0.25,2673.0,0.0
L0,roved,2.0,0.0,2389.0,0.0
L0,roved,2.0,0.25,1376.0,1.0
L0,roved,2.0,-0.75,2270.0,0.0
L0,roved,2.0,0.75,771.0,1.0
L0,roved,2.0,0.5,483.0,1.0
L0,roved,2.0,-0.5,2768.0,0.0
L0,roved,2.0,-0.25,3361.0,0.0
