listener,condition,isi,delta,trials,num,prop,a,b,l,s,d,ppc_lo,ppc_hi,pro_pp_errors
L0,roved,2.0,1.0,40.0,40.0,1.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.95,1.0,0.006254999999999999
L0,roved,5.0,-1.0,40.0,1.0,0.025,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.0,0.05,0.018502499999999998
L0,roved,5.0,-0.75,40.0,0.0,0.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.0,0.075,0.0206
L0,roved,5.0,-0.5,40.0,6.0,0.15,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.0,0.175,0.07753750000000001
L0,roved,5.0,-0.25,40.0,9.0,0.225,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.125,0.4,0.0622
L0,roved,5.0,0.0,40.0,22.0,0.55,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.4,0.725,0.06629
L0,roved,5.0,0.25,40.0,34.0,0.85,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.7,0.95,0.04796
L0,roved,5.0,0.5,40.0,39.0,0.975,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.9,1.0,0.024229999999999998
L0,roved,5.0,0.75,40.0,40.0,1.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.95,1.0,0.01001
L0,roved,5.0,1.0,40.0,40.0,1.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.95,1.0,0.0064
L0,roved,10.0,-1.0,40.0,0.0,0.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.0,0.075,0.0213225
L0,roved,10.0,-0.75,40.0,2.0,0.05,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.0,0.125,0.027995
L0,roved,10.0,-0.5,40.0,5.0,0.125,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.05,0.275,0.046575
L0,roved,10.0,-0.25,40.0,13.0,0.325,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.175,0.475,0.0598025
L0,roved,10.0,0.0,40.0,17.0,0.425,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.4,0.7,0.1318175
L0,roved,10.0,0.25,40.0,33.0,0.825,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.625,0.9,0.07037750000000001
L0,roved,10.0,0.5,40.0,39.0,0.975,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.8,1.0,0.06745999999999999
L0,roved,10.0,0.75,40.0,40.0,1.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.9,1.0,0.03054
L0,roved,10.0,1.0,40.0,40.0,1.0,0.6492515566789061,-0.0513141710221167,0.016420510992104075,0.06444222146758818,0.015152301934491364,0.95,1.0,0.0113475
L1,fixed,2.0,-1.0,40.0,0.0,0.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.0071275
L1,fixed,2.0,-0.75,40.0,0.0,0.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.00683
L1,fixed,2.0,-0.5,40.0,0.0,0.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.007325
L1,fixed,2.0,-0.25,40.0,1.0,0.025,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.125,0.026840000000000003
L1,fixed,2.0,0.0,40.0,22.0,0.55,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.375,0.7,0.067685
L1,fixed,2.0,0.25,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.9,1.0,0.0261675
L1,fixed,2.0,0.5,40.0,39.0,0.975,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.0215475
L1,fixed,2.0,0.75,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.00441
L1,fixed,2.0,1.0,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.0044824999999999995
L1,fixed,5.0,-1.0,40.0,0.0,0.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.0069575
L1,fixed,5.0,-0.75,40.0,0.0,0.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.007095
L1,fixed,5.0,-0.5,40.0,1.0,0.025,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.019855
L1,fixed,5.0,-0.25,40.0,2.0,0.05,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.125,0.0284325
L1,fixed,5.0,0.0,40.0,24.0,0.6,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.375,0.7,0.08319499999999999
L1,fixed,5.0,0.25,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.9,1.0,0.027855
L1,fixed,5.0,0.5,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.0045225000000000005
L1,fixed,5.0,0.75,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.004505
L1,fixed,5.0,1.0,40.0,39.0,0.975,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.02163
L1,fixed,10.0,-1.0,40.0,0.0,0.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.0068225
L1,fixed,10.0,-0.75,40.0,0.0,0.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.00692
L1,fixed,10.0,-0.5,40.0,1.0,0.025,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.05,0.019655
L1,fixed,10.0,-0.25,40.0,5.0,0.125,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.0,0.125,0.0787525
L1,fixed,10.0,0.0,40.0,18.0,0.45,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.375,0.7,0.10055499999999999
L1,fixed,10.0,0.25,40.0,39.0,0.975,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.9,1.0,0.0222025
L1,fixed,10.0,0.5,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.004645
L1,fixed,10.0,0.75,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.0043225
L1,fixed,10.0,1.0,40.0,40.0,1.0,0.6227139203848684,-0.012478357346770705,0.01095240031029289,0.0888419983704688,0.00021349910439569952,0.975,1.0,0.0042725
L1,roved,2.0,-1.0,40.0,0.0,0.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.05,0.0095625
L1,roved,2.0,-0.75,40.0,0.0,0.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.05,0.009354999999999999
L1,roved,2.0,-0.5,40.0,0.0,0.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.05,0.009729999999999999
L1,roved,2.0,-0.25,40.0,0.0,0.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.1,0.03539
L1,roved,2.0,0.0,40.0,17.0,0.425,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.4,0.725,0.1406525
L1,roved,2.0,0.25,40.0,39.0,0.975,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.925,1.0,0.018375
L1,roved,2.0,0.5,40.0,40.0,1.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.95,1.0,0.009017500000000001
L1,roved,2.0,0.75,40.0,40.0,1.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.95,1.0,0.0088875
L1,roved,2.0,1.0,40.0,40.0,1.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.95,1.0,0.0091775
L1,roved,5.0,-1.0,40.0,0.0,0.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.05,0.009465
L1,roved,5.0,-0.75,40.0,0.0,0.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.05,0.0095375
L1,roved,5.0,-0.5,40.0,1.0,0.025,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.05,0.0182725
L1,roved,5.0,-0.25,40.0,4.0,0.1,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.2,0.041235
L1,roved,5.0,0.0,40.0,20.0,0.5,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.375,0.7,0.075085
L1,roved,5.0,0.25,40.0,38.0,0.95,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.85,1.0,0.031435000000000005
L1,roved,5.0,0.5,40.0,40.0,1.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.95,1.0,0.0100225
L1,roved,5.0,0.75,40.0,40.0,1.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.95,1.0,0.0088225
L1,roved,5.0,1.0,40.0,39.0,0.975,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.95,1.0,0.019065
L1,roved,10.0,-1.0,40.0,0.0,0.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.05,0.009542499999999999
L1,roved,10.0,-0.75,40.0,1.0,0.025,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.05,0.01872
L1,roved,10.0,-0.5,40.0,0.0,0.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.0,0.1,0.025022499999999996
L1,roved,10.0,-0.25,40.0,5.0,0.125,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.05,0.275,0.053315
L1,roved,10.0,0.0,40.0,25.0,0.625,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.375,0.7,0.100885
L1,roved,10.0,0.25,40.0,37.0,0.925,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.75,0.975,0.05504
L1,roved,10.0,0.5,40.0,40.0,1.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.925,1.0,0.01984
L1,roved,10.0,0.75,40.0,39.0,0.975,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.95,1.0,0.018959999999999998
L1,roved,10.0,1.0,40.0,40.0,1.0,0.5126255084181781,-0.01842012587824603,0.017808413247744133,0.04580970027219799,0.00432270521861788,0.95,1.0,0.0089475
L2,fixed,2.0,-1.0,40.0,1.0,0.025,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.075,0.01866
L2,fixed,2.0,-0.75,40.0,0.0,0.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.075,0.0250125
L2,fixed,2.0,-0.5,40.0,1.0,0.025,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.075,0.018775
L2,fixed,2.0,-0.25,40.0,1.0,0.025,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.15,0.044469999999999996
L2,fixed,2.0,0.0,40.0,9.0,0.225,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.275,0.6,0.2076925
L2,fixed,2.0,0.25,40.0,36.0,0.9,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.775,0.975,0.041155000000000004
L2,fixed,2.0,0.5,40.0,39.0,0.975,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.0181375
L2,fixed,2.0,0.75,40.0,40.0,1.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.019915
L2,fixed,2.0,1.0,40.0,40.0,1.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.020235
L2,fixed,5.0,-1.0,40.0,0.0,0.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.075,0.024925
L2,fixed,5.0,-0.75,40.0,1.0,0.025,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.075,0.0186225
L2,fixed,5.0,-0.5,40.0,0.0,0.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.1,0.026337500000000003
L2,fixed,5.0,-0.25,40.0,1.0,0.025,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.175,0.048010000000000004
L2,fixed,5.0,0.0,40.0,14.0,0.35,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.275,0.6,0.09774000000000001
L2,fixed,5.0,0.25,40.0,30.0,0.75,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.775,0.975,0.1430575
L2,fixed,5.0,0.5,40.0,39.0,0.975,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.01842
L2,fixed,5.0,0.75,40.0,40.0,1.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.020095
L2,fixed,5.0,1.0,40.0,40.0,1.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.02009
L2,fixed,10.0,-1.0,40.0,1.0,0.025,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.075,0.0186025
L2,fixed,10.0,-0.75,40.0,0.0,0.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.075,0.02516
L2,fixed,10.0,-0.5,40.0,2.0,0.05,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.1,0.0297825
L2,fixed,10.0,-0.25,40.0,2.0,0.05,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.0,0.175,0.039537499999999996
L2,fixed,10.0,0.0,40.0,22.0,0.55,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.275,0.6,0.12034
L2,fixed,10.0,0.25,40.0,36.0,0.9,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.75,0.975,0.044345
L2,fixed,10.0,0.5,40.0,39.0,0.975,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.018525
L2,fixed,10.0,0.75,40.0,37.0,0.925,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.0550325
L2,fixed,10.0,1.0,40.0,40.0,1.0,0.5572265111615932,0.029512354653901975,0.04440046032013294,0.11002240027736473,0.0004895320078696086,0.925,1.0,0.02016
L2,roved,2.0,-1.0,40.0,0.0,0.0,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.1,0.032529999999999996
L2,roved,2.0,-0.75,40.0,1.0,0.025,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.1,0.0212625
L2,roved,2.0,-0.5,40.0,1.0,0.025,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.1,0.021912499999999998
L2,roved,2.0,-0.25,40.0,6.0,0.15,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.175,0.07188750000000001
L2,roved,2.0,0.0,40.0,22.0,0.55,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.275,0.6,0.114035
L2,roved,2.0,0.25,40.0,36.0,0.9,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.75,0.975,0.047935
L2,roved,2.0,0.5,40.0,35.0,0.875,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.875,1.0,0.0827075
L2,roved,2.0,0.75,40.0,38.0,0.95,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.9,1.0,0.02652
L2,roved,2.0,1.0,40.0,37.0,0.925,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.9,1.0,0.0412
L2,roved,5.0,-1.0,40.0,2.0,0.05,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.1,0.027915000000000002
L2,roved,5.0,-0.75,40.0,2.0,0.05,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.1,0.0272125
L2,roved,5.0,-0.5,40.0,2.0,0.05,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.125,0.02743
L2,roved,5.0,-0.25,40.0,2.0,0.05,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.05,0.275,0.103675
L2,roved,5.0,0.0,40.0,19.0,0.475,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.3,0.625,0.066355
L2,roved,5.0,0.25,40.0,39.0,0.975,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.65,0.925,0.176175
L2,roved,5.0,0.5,40.0,40.0,1.0,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.85,1.0,0.06379
L2,roved,5.0,0.75,40.0,40.0,1.0,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.875,1.0,0.0411575
L2,roved,5.0,1.0,40.0,37.0,0.925,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.9,1.0,0.040565000000000004
L2,roved,10.0,-1.0,40.0,1.0,0.025,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.1,0.02196
L2,roved,10.0,-0.75,40.0,3.0,0.075,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.125,0.0393825
L2,roved,10.0,-0.5,40.0,8.0,0.2,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.0,0.2,0.1150175
L2,roved,10.0,-0.25,40.0,8.0,0.2,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.1,0.375,0.05715
L2,roved,10.0,0.0,40.0,26.0,0.65,0.44505843766986475,0.0235705861224267,0.07069772531190957,0.0567309749035207,0.009911529001903662,0.325,0.625,0.180975
