listener,condition,isi,delta,trials,num,prop,a,b,l,s,d,ppc_lo,ppc_hi,pro_pp_errors
L0,fixed,2.0,-1.0,40.0,0.0,0.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.05,0.0075475
L0,fixed,2.0,-0.75,40.0,1.0,0.025,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.05,0.0197425
L0,fixed,2.0,-0.5,40.0,1.0,0.025,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.075,0.0175875
L0,fixed,2.0,-0.25,40.0,2.0,0.05,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.05,0.3,0.11095
L0,fixed,2.0,0.0,40.0,,0.625,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.475,0.825,
L0,fixed,2.0,0.25,40.0,39.0,0.975,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.875,1.0,0.028239999999999998
L0,fixed,2.0,0.5,40.0,40.0,1.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.0045775
L0,fixed,2.0,0.75,40.0,40.0,1.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.00346
L0,fixed,2.0,1.0,40.0,40.0,1.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.0034475
L0,fixed,5.0,-1.0,40.0,0.0,0.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.05,0.007655
L0,fixed,5.0,-0.75,40.0,0.0,0.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.05,0.0075325
L0,fixed,5.0,-0.5,40.0,0.0,0.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.075,0.01738
L0,fixed,5.0,-0.25,40.0,10.0,0.25,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.05,0.3,0.0896
L0,fixed,5.0,0.0,40.0,,0.625,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.475,0.8,
L0,fixed,5.0,0.25,40.0,37.0,0.925,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.875,1.0,0.03981
L0,fixed,5.0,0.5,40.0,40.0,1.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.0047325
L0,fixed,5.0,0.75,40.0,40.0,1.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.00315
L0,fixed,5.0,1.0,40.0,40.0,1.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.003465
L0,fixed,10.0,-1.0,40.0,0.0,0.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.05,0.0076025
L0,fixed,10.0,-0.75,40.0,0.0,0.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.05,0.007764999999999999
L0,fixed,10.0,-0.5,40.0,0.0,0.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.0,0.075,0.02083
L0,fixed,10.0,-0.25,40.0,8.0,0.2,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.05,0.325,0.055495
L0,fixed,10.0,0.0,40.0,,0.575,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.475,0.8,
L0,fixed,10.0,0.25,40.0,38.0,0.95,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.85,1.0,0.0304025
L0,fixed,10.0,0.5,40.0,39.0,0.975,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.020865
L0,fixed,10.0,0.75,40.0,40.0,1.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.0033025
L0,fixed,10.0,1.0,40.0,40.0,1.0,0.7075728834138668,-0.06741616824106103,0.010216716842506954,0.12380791646941786,0.0005934435609566463,0.975,1.0,0.0034875
L0,roved,2.0,-1.0,40.0,0.0,0.0,0.6411283420746654,-0.06520808817218053,0.016887283632405437,0.06235938239946279,0.014518196260505508,0.0,0.05,0.01128
L0,roved,2.0,-0.75,40.0,0.0,0.0,0.6411283420746654,-0.06520808817218053,0.016887283632405437,0.06235938239946279,0.014518196260505508,0.0,0.05,0.0114475
L0,roved,2.0,-0.5,40.0,2.0,0.05,0.6411283420746654,-0.06520808817218053,0.016887283632405437,0.06235938239946279,0.014518196260505508,0.0,0.1,0.029955
L0,roved,2.0,-0.25,40.0,8.0,0.2,0.6411283420746654,-0.06520808817218053,0.016887283632405437,0.06235938239946279,0.014518196260505508,0.075,0.325,0.054335
