,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_missing__32,21.0631,3.4055716686045456,0.2657917397136337,14.0,27.0,78.89590936055167,1.0001154166030664
y_missing__33,20.3266,3.273000525511855,0.2561979398824276,13.0,26.0,89.27088075957782,1.0043186299203732
y_missing__34,19.84595,3.5388725037078945,0.26331713479187036,13.0,26.0,57.56834999408475,1.002865554650125
y_missing__35,19.85875,3.235181360835951,0.2418250025845136,14.0,26.0,75.85663014577838,1.0001960958856722
y_missing__36,29.71625,4.020912326512499,0.3429077162663447,23.0,37.0,47.70411387767914,1.00666914987136
y_missing__37,27.3601,3.79001688518676,0.31417941514364045,20.0,34.0,56.68537096459989,1.0002616119918972
y_missing__38,25.3692,3.467101290704028,0.28515723487227185,19.0,32.0,59.205330577210546,0.9999520783780764
y_missing__39,22.78745,3.0457466239824367,0.21520566320382928,16.0,28.0,110.96624746959786,1.0113764099252305
y_missing__40,22.15365,3.2146293219435784,0.23320955013678146,16.0,28.0,124.48340083288342,1.0101695864073519
y_missing__41,21.59525,2.9850506591177624,0.2131949855765843,16.0,27.0,153.98135653827848,1.005192262377999
y_missing__42,20.62395,3.371829829261869,0.2600071277388372,13.0,26.0,97.45917880030957,1.004140540059576
y_missing__43,20.4374,3.3636559336531606,0.2607428568532607,14.0,26.0,83.31246521068103,1.011509094582828
y_missing__44,20.33845,3.2469218650130576,0.2535155882288109,15.0,27.0,101.01872949110233,1.0000305976713313
y_missing__45,20.00855,3.137925572332809,0.23426521610132395,14.0,26.0,100.87818557803901,1.002922192596851
y_missing__46,19.34055,3.0481593950284993,0.2204523179170498,14.0,25.0,132.70276736194282,1.0027522775788402
y_missing__47,18.8933,3.1020662646048067,0.23106416013739559,13.0,24.0,84.90453304266201,1.0437376615988512
y_missing__48,19.70745,3.9195745301627145,0.3269953324972698,12.0,27.0,63.38928449343609,1.0027794506207484
y_missing__49,19.6861,3.9496286901429305,0.33407559458900915,12.0,27.0,42.25690567165274,1.0174765432942285
y_missing__50,19.37295,4.0297094557175885,0.33079588188942133,12.0,27.0,47.34001510295318,1.001823619902615
y_missing__51,20.31395,3.3861313319923654,0.26129679767459835,13.0,26.0,92.5711575181636,1.003065168193793
y_missing__52,19.6735,3.1475383635469694,0.24291140874812775,13.0,25.0,110.28778513954862,0.9999638156604173
y_missing__53,19.53575,3.5239497637593704,0.2732612154605919,13.0,26.0,85.66055247783747,1.0174505655676378
y_missing__54,12.93875,3.613004073828308,0.2907523118996649,5.0,19.0,68.92494515934462,1.0098357159355507
y_missing__55,13.44055,3.653596269088517,0.29133938881483223,6.0,20.0,89.10966488394214,1.0043703699197204
y_missing__56,14.7341,3.373128694550404,0.2700157993525564,8.0,21.0,75.34437532047548,1.0065263696194435
y_missing__57,19.0828,3.3225809485999345,0.2544992074643849,13.0,25.0,90.59102771245902,1.0064770409285622
y_missing__58,20.53045,3.0972363160565664,0.23286598178995574,14.0,26.0,76.5178278442518,1.013487259456152
y_missing__59,20.8228,3.4298105137164283,0.261449787913473,14.0,27.0,85.38840412679204,1.003311740931471
